userID,age,gender,country,total_play_time,avg_session_time,games_played,in_game_purchases,last_login,friend_count,churn,game_genre,max_level_achieved,daily_play_time,subscription_status,device_type,number_of_sessions,social_interactions,achievement_points,favorite_game_mode
00000,56,Other,UK,90,82,1,258,19,133,0,Adventure,28,6,Yes,PC,17,211,9768,Coop
00001,46,Male,Germany,475,107,8,421,24,75,1,Action,25,297,Yes,Console,34,95,2790,Single-player
00002,32,Male,Brazil,888,42,10,255,2,111,0,Adventure,39,253,No,PC,25,127,6697,Single-player
00003,25,Female,Germany,725,31,20,167,4,10,1,Strategy,3,241,Yes,PC,6,367,836,Single-player
00004,38,Female,Canada,187,94,18,470,14,193,0,Simulation,11,181,No,Console,41,425,7261,Multiplayer
00005,56,Other,Canada,568,116,20,492,2,95,0,Adventure,30,261,No,Mobile,11,266,7328,Coop
00006,36,Male,Japan,618,24,11,119,14,176,1,Strategy,33,64,No,PC,7,61,6928,Coop
00007,40,Female,Japan,953,74,18,18,1,19,0,Simulation,34,1,No,PC,12,348,549,Multiplayer
00008,28,Other,Germany,194,80,27,295,11,20,0,Adventure,41,66,No,Mobile,23,438,611,Multiplayer
00009,28,Other,South Korea,533,32,16,308,26,35,0,RPG,3,102,No,PC,30,26,6439,Multiplayer
00010,41,Other,France,697,15,5,246,4,37,0,Action,5,225,Yes,Console,3,84,6842,Coop
00011,53,Female,USA,879,93,7,204,8,55,0,Action,31,269,Yes,Mobile,13,486,9697,Multiplayer
00012,57,Female,Brazil,84,67,22,419,21,90,0,Action,4,248,No,PC,39,28,4144,Coop
00013,41,Male,India,591,35,2,66,3,10,0,Adventure,8,79,No,PC,2,121,9401,Multiplayer
00014,20,Male,Brazil,840,115,11,341,22,17,0,RPG,17,127,No,Console,36,484,3598,Single-player
00015,39,Other,Canada,76,21,13,344,25,80,1,RPG,22,206,No,Console,0,287,5671,Single-player
00016,19,Other,Japan,329,86,20,403,20,97,1,RPG,38,40,Yes,Mobile,30,168,1058,Multiplayer
00017,41,Female,France,382,86,24,411,27,44,1,Simulation,24,199,Yes,Console,28,232,6067,Single-player
00018,47,Female,Australia,432,11,28,184,6,153,0,Adventure,31,249,No,PC,11,380,6212,Single-player
00019,55,Male,UK,376,41,16,386,15,125,0,Strategy,49,129,No,Console,4,395,4887,Multiplayer
00020,19,Male,Australia,340,59,14,341,12,58,1,Simulation,49,124,Yes,PC,12,306,9003,Single-player
00021,38,Male,Australia,176,104,7,107,1,133,0,Adventure,46,105,No,Mobile,6,279,9610,Multiplayer
00022,50,Female,South Korea,425,70,7,164,1,42,0,RPG,25,17,Yes,Console,21,281,8511,Coop
00023,29,Other,South Korea,423,20,12,120,8,93,0,Adventure,38,146,No,Console,41,180,2208,Single-player
00024,39,Male,Japan,966,110,12,485,14,179,0,RPG,32,164,Yes,PC,49,20,4072,Single-player
00025,42,Male,Australia,173,77,20,401,3,102,1,Strategy,49,95,No,PC,36,30,5399,Single-player
00026,44,Female,India,405,43,1,83,16,189,1,RPG,26,88,No,Mobile,43,6,3287,Single-player
00027,59,Male,Canada,81,89,23,301,8,16,1,Simulation,36,214,No,PC,10,236,1625,Coop
00028,45,Other,Australia,20,104,6,260,14,76,0,Adventure,27,202,No,Mobile,18,96,7036,Multiplayer
00029,33,Female,France,690,98,8,106,0,116,0,Action,23,148,No,Mobile,8,400,8896,Multiplayer
00030,32,Male,UK,397,112,27,122,29,45,1,RPG,20,170,Yes,Mobile,10,442,3750,Multiplayer
00031,20,Male,USA,329,17,13,72,26,168,0,RPG,46,34,No,PC,43,295,2530,Multiplayer
00032,54,Female,Japan,224,17,5,476,1,140,0,Action,27,238,Yes,PC,6,401,8883,Single-player
00033,24,Female,Japan,776,107,24,336,8,133,1,Simulation,17,286,Yes,PC,31,52,3077,Coop
00034,38,Male,Germany,401,24,10,459,10,160,0,Strategy,14,233,Yes,Console,20,376,7988,Single-player
00035,26,Other,France,780,14,27,312,18,131,0,Strategy,3,210,Yes,Console,6,320,2594,Coop
00036,56,Female,South Korea,762,28,14,153,26,177,0,Simulation,40,137,No,Console,28,83,7525,Multiplayer
00037,35,Other,Canada,784,83,24,288,0,47,1,Adventure,27,47,No,Mobile,23,212,3938,Coop
00038,21,Male,India,893,18,9,96,18,98,1,Strategy,45,254,No,Console,41,238,5464,Multiplayer
00039,42,Other,France,854,66,17,291,8,26,1,Simulation,14,259,No,Console,23,108,1537,Multiplayer
00040,31,Male,Brazil,920,63,3,348,27,5,0,RPG,28,167,No,Console,39,425,8494,Coop
00041,26,Male,USA,437,38,12,277,1,57,0,Action,44,75,No,Console,26,381,5826,Coop
00042,43,Male,UK,271,113,12,253,4,190,0,Adventure,25,236,Yes,Mobile,44,293,5103,Multiplayer
00043,19,Male,Germany,279,110,11,81,16,0,0,Adventure,40,296,Yes,Mobile,5,375,3358,Coop
00044,37,Other,France,222,28,22,16,25,27,0,RPG,11,170,Yes,PC,6,415,4191,Coop
